date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:55:00	251916/251916	---MCZ	200	added ('OK')	application/font-woff	etag:W/%223d80c-6442d811-7becd6c7c5af8360;;;%22	https://www.devsnews.com/template/tionco/tionco/assets/fonts/fa-light-300.woff	C:/Users/Amine/Desktop/Wajd/Wajd/www.devsnews.com/template/tionco/tionco/assets/fonts/fa-light-300.woff	(from https://www.devsnews.com/template/tionco/tionco/assets/css/fontawesome-all.min.css)
15:55:00	493688/493688	---M-Z	200	added ('OK')	application/x-font-ttf	etag:%2278878-6442d811-f720e3ae55de95bd;gz%22	https://www.devsnews.com/template/tionco/tionco/assets/fonts/fa-light-300.ttf	C:/Users/Amine/Desktop/Wajd/Wajd/www.devsnews.com/template/tionco/tionco/assets/fonts/fa-light-300.ttf	(from https://www.devsnews.com/template/tionco/tionco/assets/css/fontawesome-all.min.css)
15:55:02	2444020/2444020	---M-Z	200	added ('OK')	image/svg+xml	etag:%22254af4-6442d811-da5496794c8ef09d;gz%22	https://www.devsnews.com/template/tionco/tionco/assets/fonts/fa-light-300.svg	C:/Users/Amine/Desktop/Wajd/Wajd/www.devsnews.com/template/tionco/tionco/assets/fonts/fa-light-300.svg	(from https://www.devsnews.com/template/tionco/tionco/assets/css/fontawesome-all.min.css)
15:55:03	454382/454382	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:%226eeee-6442d811-39c9ffe8bd6d70c9;gz%22	https://www.devsnews.com/template/tionco/tionco/assets/fonts/fa-regular-400.eot	C:/Users/Amine/Desktop/Wajd/Wajd/www.devsnews.com/template/tionco/tionco/assets/fonts/fa-regular-400.eot	(from https://www.devsnews.com/template/tionco/tionco/assets/css/fontawesome-all.min.css)
15:55:03	454382/454382	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:%226eeee-6442d811-39c9ffe8bd6d70c9;gz%22	https://www.devsnews.com/template/tionco/tionco/assets/fonts/fa-regular-400.eot?	C:/Users/Amine/Desktop/Wajd/Wajd/www.devsnews.com/template/tionco/tionco/assets/fonts/fa-regular-400d41d.eot	(from https://www.devsnews.com/template/tionco/tionco/assets/css/fontawesome-all.min.css)
15:55:04	173528/173528	---M--	200	added ('OK')	font/woff2	etag:%222a5d8-6442d811-5affc2ce02698a37;;;%22	https://www.devsnews.com/template/tionco/tionco/assets/fonts/fa-regular-400.woff2	C:/Users/Amine/Desktop/Wajd/Wajd/www.devsnews.com/template/tionco/tionco/assets/fonts/fa-regular-400.woff2	(from https://www.devsnews.com/template/tionco/tionco/assets/css/fontawesome-all.min.css)
15:55:06	230372/230372	---MCZ	200	added ('OK')	application/font-woff	etag:W/%22383e4-6442d811-683c4de3df1efa28;;;%22	https://www.devsnews.com/template/tionco/tionco/assets/fonts/fa-regular-400.woff	C:/Users/Amine/Desktop/Wajd/Wajd/www.devsnews.com/template/tionco/tionco/assets/fonts/fa-regular-400.woff	(from https://www.devsnews.com/template/tionco/tionco/assets/css/fontawesome-all.min.css)
15:55:07	454088/454088	---M-Z	200	added ('OK')	application/x-font-ttf	etag:%226edc8-6442d811-4b7873963919ae89;gz%22	https://www.devsnews.com/template/tionco/tionco/assets/fonts/fa-regular-400.ttf	C:/Users/Amine/Desktop/Wajd/Wajd/www.devsnews.com/template/tionco/tionco/assets/fonts/fa-regular-400.ttf	(from https://www.devsnews.com/template/tionco/tionco/assets/css/fontawesome-all.min.css)
15:55:09	2181314/2181314	---M-Z	200	added ('OK')	image/svg+xml	etag:%222148c2-6442d811-7fc8260c2e79dedc;gz%22	https://www.devsnews.com/template/tionco/tionco/assets/fonts/fa-regular-400.svg	C:/Users/Amine/Desktop/Wajd/Wajd/www.devsnews.com/template/tionco/tionco/assets/fonts/fa-regular-400.svg	(from https://www.devsnews.com/template/tionco/tionco/assets/css/fontawesome-all.min.css)
15:55:10	387722/387722	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:%225ea8a-6442d811-86c54c58ed93cf71;gz%22	https://www.devsnews.com/template/tionco/tionco/assets/fonts/fa-solid-900.eot	C:/Users/Amine/Desktop/Wajd/Wajd/www.devsnews.com/template/tionco/tionco/assets/fonts/fa-solid-900.eot	(from https://www.devsnews.com/template/tionco/tionco/assets/css/fontawesome-all.min.css)
